area,00:00-Alt.,00:00-Az.,02:00-Alt.,02:00-Az.,04:00-Alt.,04:00-Az.,06:00-Alt.,06:00-Az.,08:00-Alt.,08:00-Az.,10:00-Alt.,10:00-Az.,12:00-Alt.,12:00-Az.,14:00-Alt.,14:00-Az.,16:00-Alt.,16:00-Az.,18:00-Alt.,18:00-Az.,20:00-Alt.,20:00-Az.,22:00-Alt.,22:00-Az.
Seoul,35°,71°,58°,84°,82°,114°,72°,265°,49°,281°,26°,294°,6°,309°,-,-,-,-,-,-,-,-,14°,58°
Busan,36°,70°,60°,81°,84°,100°,71°,273°,47°,285°,24°,296°,3°,310°,-,-,-,-,-,-,-,-,14°,58°
Cheju,33°,68°,57°,78°,82°,84°,73°,277°,48°,285°,25°,296°,4°,309°,-,-,-,-,-,-,-,-,12°,57°
Chollabuk,35°,70°,58°,82°,83°,101°,73°,271°,48°,283°,25°,295°,5°,309°,-,-,-,-,-,-,-,-,13°,58°
Chollanam,34°,69°,58°,80°,82°,92°,73°,274°,49°,284°,25°,295°,4°,309°,-,-,-,-,-,-,-,-,12°,57°
Chungcheongbuk,35°,70°,59°,82°,83°,104°,72°,270°,48°,283°,25°,295°,4°,310°,-,-,-,-,-,-,-,-,14°,58°
Chungcheongnam,35°,70°,59°,82°,83°,104°,72°,270°,48°,283°,25°,295°,4°,310°,-,-,-,-,-,-,-,-,14°,58°
Daegu,36°,71°,60°,82°,84°,105°,71°,271°,47°,284°,24°,296°,4°,310°,-,-,-,-,-,-,-,-,15°,58°
Gangwon,36°,72°,59°,85°,83°,118°,72°,266°,48°,282°,25°,295°,5°,310°,-,-,-,-,-,-,-,-,15°,59°
Gwangju,34°,70°,58°,81°,83°,96°,73°,272°,48°,284°,25°,295°,4°,309°,-,-,-,-,-,-,-,-,13°,57°
Gyeonggi,35°,71°,58°,84°,82°,113°,73°,265°,49°,281°,26°,294°,6°,309°,-,-,-,-,-,-,-,-,14°,58°
Gyeongsangbuk,35°,70°,59°,82°,83°,104°,72°,270°,48°,283°,25°,295°,4°,310°,-,-,-,-,-,-,-,-,14°,58°
Gyeongsangnam,35°,70°,59°,82°,83°,104°,72°,270°,48°,283°,25°,295°,4°,310°,-,-,-,-,-,-,-,-,14°,58°
Incheon,35°,71°,58°,84°,82°,112°,73°,265°,49°,281°,26°,294°,6°,309°,-,-,-,-,-,-,-,-,14°,58°
Jeju,33°,68°,57°,78°,82°,84°,73°,277°,48°,285°,25°,296°,4°,309°,-,-,-,-,-,-,-,-,12°,57°
Kangweon,35°,70°,59°,82°,83°,104°,72°,270°,48°,283°,25°,295°,4°,310°,-,-,-,-,-,-,-,-,14°,58°
Kwangju,34°,70°,58°,81°,83°,96°,73°,272°,48°,284°,25°,295°,4°,309°,-,-,-,-,-,-,-,-,13°,57°
Kyeonggi,35°,70°,59°,82°,83°,104°,72°,270°,48°,283°,25°,295°,4°,310°,-,-,-,-,-,-,-,-,14°,58°
Kyeongsangbuk,35°,70°,59°,82°,83°,104°,72°,270°,48°,283°,25°,295°,4°,310°,-,-,-,-,-,-,-,-,14°,58°
Kyeongsangnam,35°,70°,59°,82°,83°,104°,72°,270°,48°,283°,25°,295°,4°,310°,-,-,-,-,-,-,-,-,14°,58°
Pusan,36°,70°,60°,81°,84°,100°,71°,273°,47°,285°,24°,296°,3°,310°,-,-,-,-,-,-,-,-,14°,58°
South Korea,35°,70°,59°,82°,83°,104°,72°,270°,48°,283°,25°,295°,4°,310°,-,-,-,-,-,-,-,-,14°,58°
Taegu,36°,71°,60°,82°,84°,105°,71°,271°,47°,284°,24°,296°,4°,310°,-,-,-,-,-,-,-,-,15°,58°
Taejeon,35°,71°,59°,83°,83°,106°,72°,269°,48°,283°,25°,295°,5°,309°,-,-,-,-,-,-,-,-,14°,58°
Ulsan,36°,71°,60°,82°,84°,104°,71°,272°,47°,284°,24°,296°,3°,311°,-,-,-,-,-,-,-,-,15°,59°
